Time,T_0,P_0,L_0,T_1,P_1,L_1,T_2,P_2,L_2
1579273024.2077193,20.68,995.77,61.67,21.21,995.1,35.83,22.05,995.82,30.83
1579273084.285886,20.52,995.75,58.33,21.15,995.09,34.17,22.0,995.81,30.0
1579273144.2081475,20.43,995.76,55.83,21.12,995.09,34.17,21.81,995.82,27.5
1579273204.2586555,20.36,995.77,53.33,20.8,995.12,27.5,21.51,995.86,24.17
1579273264.1948547,20.27,995.76,50.83,20.67,995.12,25.0,21.51,995.86,24.17
1579273324.2552605,20.2,995.78,45.83,20.57,995.13,22.5,21.29,995.89,20.0
1579273384.2030704,20.12,995.85,44.17,20.53,995.15,20.83,21.19,995.92,18.33
1579273444.2465985,20.09,995.86,43.33,20.49,995.15,20.0,21.12,995.93,17.5
1579273504.1944838,20.08,995.87,41.67,20.45,995.15,19.17,21.12,995.93,17.5
1579273564.2413414,20.07,995.86,41.67,20.37,995.14,18.33,21.02,995.91,15.83
1579273624.201959,20.04,995.83,40.0,20.34,995.12,17.5,21.02,995.91,15.83
1579273684.1856902,20.0,995.78,39.17,20.32,995.08,15.83,20.96,995.88,15.0
1579273744.2343483,20.0,995.75,37.5,20.3,995.07,15.0,20.9,995.81,12.5
1579273804.1801722,19.99,995.72,35.83,20.29,995.03,13.33,20.9,995.81,12.5
1579273864.1767726,19.98,995.71,34.17,20.27,995.02,12.5,20.88,995.77,11.67
1579273924.1723936,19.98,995.69,33.33,20.27,995.02,12.5,20.86,995.77,10.83
1579273984.2201755,19.95,995.69,14.17,20.25,995.0,10.0,20.82,995.76,9.17
1579274044.1675165,19.93,995.67,13.33,20.25,994.98,10.0,20.82,995.76,9.17
1579274164.1619823,19.88,995.66,13.33,20.22,994.96,8.33,20.83,995.73,8.33
1579274224.2095072,19.88,995.62,12.5,20.18,994.94,6.67,20.86,995.71,6.67
1579274284.1573691,19.85,995.6,10.83,20.16,994.91,6.67,20.86,995.71,6.67
1579274344.2025692,19.85,995.59,10.0,20.16,994.89,5.83,20.85,995.67,5.83
1579274404.1514096,19.87,995.6,9.17,20.18,994.91,5.0,20.85,995.67,5.83
1579274464.1966295,19.85,995.62,8.33,20.17,994.92,4.17,20.84,995.69,4.17
1579274524.1443863,19.87,995.62,7.5,20.17,994.94,3.33,20.84,995.69,4.17
1579274584.1909769,19.88,995.64,6.67,20.16,994.95,2.5,20.82,995.71,3.33
1579274644.1381295,19.89,995.66,5.83,20.16,994.98,2.5,20.82,995.71,3.33
1579274704.1832116,19.89,995.67,5.83,20.16,994.98,1.67,20.81,995.74,2.5
1579274764.1314595,19.88,995.65,4.17,20.17,994.98,1.67,20.81,995.74,2.5
1579274824.1775527,19.84,995.63,24.17,20.15,994.95,1.67,20.84,995.7,1.67
1579274884.1252298,19.82,995.64,24.17,20.13,994.94,1.67,20.84,995.7,1.67
1579274944.1709201,19.83,995.65,23.33,20.11,994.95,1.67,20.81,995.73,1.67
1579275004.1191819,19.84,995.67,3.33,20.08,994.98,0.0,20.81,995.73,1.67
1579275064.1402657,19.85,995.69,2.5,20.09,994.98,0.0,20.81,995.76,0.83
1579275124.1095428,19.81,995.69,2.5,20.09,994.98,0.0,20.8,995.75,0.83
1579275184.1576183,19.85,995.7,2.5,20.12,995.01,0.0,20.77,995.78,0.83
1579275244.104728,19.89,995.71,2.5,20.1,995.02,0.0,20.77,995.78,0.83
1579275304.1516287,19.9,995.69,2.5,20.1,995.0,0.0,20.78,995.78,0.83
1579275364.0985136,19.91,995.66,2.5,20.1,994.98,0.0,20.78,995.78,0.83
1579275424.1210444,19.89,995.65,1.67,20.11,994.98,0.0,20.76,995.75,0.83
1579275484.0892296,19.89,995.66,1.67,20.11,994.98,0.0,20.75,995.75,0.83
1579275544.1373065,19.89,995.67,1.67,20.13,994.99,0.0,20.74,995.76,0.83
1579275604.0847692,19.92,995.69,1.67,20.13,995.0,0.0,20.74,995.76,0.83
1579275664.1319435,19.92,995.7,1.67,20.14,995.0,0.0,20.74,995.78,0.83
1579275724.0791967,19.91,995.71,1.67,20.13,995.02,0.0,20.74,995.78,0.83
1579275784.1247573,19.89,995.73,1.67,20.14,995.04,0.0,20.76,995.82,0.83
1579275844.0733116,19.89,995.73,1.67,20.16,995.04,0.0,20.76,995.82,0.83
1579275904.118528,19.9,995.73,1.67,20.15,995.03,0.0,20.78,995.79,0.0
1579275964.0670078,19.9,995.73,1.67,20.15,995.05,0.0,20.78,995.79,0.0
1579276024.11271,19.91,995.76,1.67,20.15,995.07,0.0,20.8,995.83,0.0
1579276084.0600479,19.9,995.76,1.67,20.12,995.07,0.0,20.8,995.83,0.0
1579276144.1078715,19.88,995.76,1.67,20.14,995.07,0.0,20.78,995.83,0.83
1579276204.0543952,19.89,995.76,1.67,20.13,995.07,0.0,20.78,995.83,0.83
1579276264.0984287,19.9,995.75,1.67,20.12,995.07,0.0,20.79,995.83,0.83
1579276324.0461342,19.91,995.79,1.67,20.11,995.08,0.0,20.79,995.83,0.83
1579276384.091494,19.91,995.79,1.67,20.11,995.1,0.0,20.8,995.85,0.83
1579276444.0393133,19.9,995.79,1.67,20.09,995.12,0.0,20.8,995.85,0.83
1579276504.0859134,19.91,995.81,1.67,20.08,995.14,0.0,20.81,995.87,0.83
1579276564.0334058,19.91,995.82,1.67,20.09,995.14,0.0,20.81,995.87,0.83
1579276624.0553246,19.89,995.81,1.67,20.1,995.13,0.0,20.8,995.88,0.0
1579276684.0244596,19.89,995.79,1.67,20.1,995.13,0.0,20.8,995.87,0.83
1579276744.071343,19.88,995.75,1.67,20.12,995.11,0.0,20.78,995.82,0.83
1579276804.0197208,19.9,995.71,1.67,20.15,995.04,0.0,20.78,995.82,0.83
1579276924.0138705,19.9,995.7,1.67,20.15,995.01,0.0,20.81,995.78,0.0
1579276984.0350406,19.92,995.7,1.67,20.15,995.01,0.0,20.82,995.77,0.0
1579277044.0045595,19.9,995.7,1.67,20.15,995.01,0.0,20.81,995.75,0.0
1579277104.0522885,19.9,995.69,1.67,20.16,995.01,0.0,20.8,995.75,0.0
1579277164.0002244,19.92,995.68,1.67,20.17,994.99,0.0,20.8,995.75,0.0
1579277224.0455925,19.91,995.66,2.5,20.18,994.95,0.0,20.79,995.7,0.0
1579277283.9937177,19.91,995.63,2.5,20.17,994.93,0.0,20.79,995.7,0.0
1579277344.02165,19.88,995.61,2.5,20.16,994.9,0.0,20.78,995.67,0.83
1579277403.9847267,19.87,995.6,2.5,20.16,994.9,0.0,20.77,995.65,0.83
1579277464.031949,19.87,995.62,2.5,20.17,994.92,0.0,20.79,995.67,0.0
1579277523.9809399,19.85,995.64,2.5,20.16,994.94,0.0,20.79,995.67,0.0
1579277584.0260973,19.84,995.63,2.5,20.15,994.93,0.0,20.78,995.66,0.0
1579277643.9737737,19.84,995.6,2.5,20.13,994.91,0.0,20.78,995.66,0.0
1579277704.010418,19.84,995.57,2.5,20.13,994.88,0.0,20.79,995.63,0.0
1579277763.9578917,19.83,995.58,2.5,20.12,994.88,0.0,20.79,995.63,0.0
1579277824.0134878,19.82,995.56,1.67,20.13,994.86,0.0,20.8,995.61,0.83
1579277883.9533203,19.82,995.54,1.67,20.13,994.84,0.0,20.8,995.61,0.83
1579277943.9975836,19.83,995.52,1.67,20.13,994.82,0.0,20.77,995.57,0.83
1579278003.9534109,19.84,995.52,1.67,20.15,994.83,0.0,20.77,995.57,0.83
1579278064.0023174,19.84,995.51,1.67,20.15,994.81,0.0,20.76,995.56,0.0
1579278123.9393363,19.87,995.49,1.67,20.15,994.8,0.0,20.76,995.56,0.0
1579278183.9994922,19.85,995.49,1.67,20.12,994.81,0.0,20.75,995.57,0.83
1579278243.9320412,19.88,995.51,1.67,20.14,994.82,0.0,20.69,995.58,0.83
1579278303.9754937,19.88,995.52,1.67,20.16,994.84,0.0,20.67,995.59,0.83
1579278363.966379,19.87,995.52,1.67,20.18,994.83,0.0,20.67,995.59,0.83
1579278423.9296997,19.86,995.5,1.67,20.17,994.8,0.0,20.65,995.58,0.83
1579278483.9692574,19.86,995.48,1.67,20.17,994.79,0.0,20.68,995.53,0.0
1579278543.9211857,19.85,995.51,1.67,20.16,994.79,0.0,20.68,995.53,0.0
1579278603.9725115,19.85,995.51,1.67,20.15,994.8,0.0,20.72,995.56,0.0
1579278663.920454,19.83,995.52,1.67,20.15,994.81,0.0,20.72,995.56,0.0
1579278723.9649837,19.82,995.53,1.67,20.16,994.82,0.0,20.75,995.58,0.0
1579278783.9147718,19.82,995.52,1.67,20.15,994.82,0.0,20.75,995.58,0.0
1579278843.9606795,19.84,995.5,1.67,20.14,994.8,0.0,20.76,995.57,0.0
1579278903.907973,19.84,995.5,1.67,20.14,994.81,0.0,20.76,995.57,0.0
1579278963.9547381,19.84,995.53,1.67,20.13,994.82,0.0,20.77,995.58,0.83
1579279023.9040136,19.83,995.52,1.67,20.13,994.82,0.0,20.77,995.58,0.83
1579279083.9490283,19.86,995.54,1.67,20.1,994.82,0.0,20.77,995.58,0.83
1579279143.8966587,19.85,995.54,1.67,20.09,994.84,0.0,20.77,995.58,0.83
1579279203.9421694,19.85,995.57,1.67,20.09,994.87,0.0,20.77,995.63,0.83
1579279263.8912623,19.84,995.59,1.67,20.09,994.89,0.0,20.77,995.63,0.83
1579279383.8775198,19.83,995.5,1.67,20.07,994.81,0.0,20.76,995.6,0.83
1579279503.87553,19.86,995.47,1.67,20.08,994.78,0.0,20.76,995.54,0.83
1579279563.868605,19.8,995.46,1.67,20.08,994.77,0.0,20.76,995.54,0.83
1579279623.8653412,19.74,995.46,1.67,20.08,994.77,0.0,20.77,995.53,0.83
1579279683.9175363,19.71,995.42,1.67,20.06,994.72,0.0,20.76,995.49,0.83
1579279743.8652885,19.71,995.41,1.67,20.03,994.7,0.0,20.76,995.49,0.83
1579279803.9051373,19.7,995.41,1.67,20.01,994.71,0.0,20.73,995.47,0.83
1579279863.8500288,19.69,995.43,1.67,20.01,994.72,0.0,20.73,995.47,0.83
1579279923.912946,19.73,995.43,1.67,20.0,994.73,0.0,20.74,995.5,0.83
1579279983.855148,19.71,995.42,1.67,20.0,994.72,0.0,20.74,995.5,0.83
1579280043.894565,19.69,995.41,13.33,19.99,994.72,0.0,20.73,995.48,0.83
1579280103.8401563,19.68,995.41,11.67,19.98,994.71,0.0,20.73,995.48,0.83
1579280163.8795147,19.7,995.43,13.33,19.97,994.71,0.0,20.73,995.48,0.83
1579280223.841451,19.76,995.44,12.5,19.98,994.71,0.0,20.73,995.48,0.83
1579280283.882204,19.77,995.44,1.67,19.98,994.72,0.0,20.77,995.5,0.83
1579280343.8347294,19.77,995.45,1.67,19.98,994.73,0.0,20.77,995.5,0.83
1579280403.8797114,19.74,995.44,1.67,19.99,994.73,0.0,20.8,995.5,0.83
1579280463.8276424,19.71,995.4,1.67,19.98,994.69,0.0,20.8,995.5,0.83
1579280523.8733888,19.69,995.34,1.67,19.99,994.63,0.0,20.78,995.41,0.0
1579280583.8223395,19.69,995.29,1.67,20.01,994.57,0.0,20.78,995.41,0.0
1579280643.8661454,19.67,995.24,1.67,20.01,994.53,0.0,20.77,995.32,0.0
1579280703.8146706,19.67,995.21,1.67,20.02,994.5,0.0,20.77,995.32,0.0
1579280763.8601816,19.67,995.19,1.67,20.02,994.48,0.0,20.77,995.28,0.0
1579280823.8084724,19.67,995.2,1.67,20.0,994.48,0.0,20.77,995.28,0.0
1579280883.8547032,19.68,995.21,1.67,20.0,994.49,0.0,20.75,995.27,0.83
1579280943.8022513,19.68,995.2,1.67,20.02,994.51,0.0,20.75,995.27,0.83
1579281003.84901,19.68,995.21,1.67,20.04,994.5,0.0,20.77,995.26,0.83
1579281063.796293,19.67,995.2,1.67,20.06,994.48,0.0,20.77,995.26,0.83
1579281123.840996,19.67,995.18,1.67,20.07,994.46,0.0,20.78,995.23,0.83
1579281183.790068,19.65,995.16,1.67,20.05,994.42,0.0,20.78,995.23,0.83
1579281243.835569,19.63,995.13,1.67,20.04,994.38,0.0,20.79,995.18,0.0
1579281303.7850745,19.64,995.1,1.67,20.04,994.35,0.0,20.79,995.18,0.0
1579281363.8301349,19.63,995.09,1.67,20.06,994.35,0.0,20.73,995.13,0.0
1579281423.7784617,19.63,995.07,1.67,20.08,994.35,0.0,20.73,995.13,0.0
1579281483.8005385,19.64,995.06,1.67,20.05,994.32,0.0,20.73,995.13,0.83
1579281543.7687254,19.62,995.04,1.67,20.05,994.32,0.0,20.74,995.12,0.83
1579281603.8182068,19.6,995.04,1.67,20.0,994.29,0.0,20.74,995.1,0.0
1579281663.7659223,19.6,995.03,1.67,19.99,994.3,0.0,20.74,995.1,0.0
1579281723.8125045,19.6,995.04,1.67,20.0,994.31,0.0,20.75,995.1,0.83
1579281783.7612598,19.59,995.06,1.67,20.0,994.32,0.0,20.75,995.1,0.83
1579281843.8059986,19.58,995.08,1.67,20.0,994.36,0.0,20.75,995.15,0.83
1579281903.753965,19.55,995.11,1.67,20.0,994.36,0.0,20.75,995.15,0.83
1579281963.7985988,19.55,995.11,1.67,19.99,994.38,0.0,20.78,995.17,0.0
1579282023.7470481,19.57,995.12,1.67,19.97,994.39,0.0,20.78,995.17,0.0
1579282083.7946253,19.56,995.14,1.67,19.97,994.4,0.0,20.8,995.19,0.0
1579282143.7410262,19.54,995.14,1.67,19.99,994.4,0.0,20.8,995.19,0.0
1579282263.734335,19.5,995.17,1.67,20.0,994.39,0.0,20.82,995.19,0.0
1579282383.7293797,19.5,995.17,1.67,20.0,994.41,0.0,20.81,995.18,0.83
1579282443.7760975,19.5,995.16,1.67,20.0,994.4,0.0,20.82,995.19,0.83
