Time,T_0,P_0,L_0,T_1,P_1,L_1,T_2,P_2,L_2
1577958458.2837222,18.14,1001.71,708.33,18.55,1001.1,798.33,18.44,1001.98,665.83
1577958518.331092,18.15,1001.71,729.17,18.55,1001.1,792.5,18.44,1001.98,662.5
1577958578.2764444,18.16,1001.72,780.0,18.56,1001.1,791.67,18.44,1001.98,656.67
1577958638.27351,18.19,1001.72,863.33,18.55,1001.1,781.67,18.44,1001.99,648.33
1577958698.2716925,18.22,1001.73,829.17,18.55,1001.1,758.33,18.42,1001.97,630.83
1577958758.2662935,18.28,1001.71,830.0,18.57,1001.09,730.0,18.42,1001.97,606.67
1577958818.2642045,18.31,1001.7,840.83,18.57,1001.09,711.67,18.42,1001.96,590.83
1577958878.2610161,18.32,1001.7,845.0,18.56,1001.09,693.33,18.42,1001.96,576.67
1577958938.2564301,18.34,1001.7,845.0,18.55,1001.08,674.17,18.42,1001.98,562.5
1577958998.2541664,18.33,1001.71,840.0,18.54,1001.1,656.67,18.4,1001.99,549.17
1577959058.2512267,18.37,1001.74,829.17,18.52,1001.1,647.5,18.4,1002.01,545.0
1577959118.2474904,18.39,1001.74,813.33,18.52,1001.14,641.67,18.42,1002.03,544.17
1577959178.2446337,18.4,1001.74,788.33,18.52,1001.12,650.83,18.42,1002.01,552.5
1577959238.2420542,18.39,1001.74,758.33,18.52,1001.12,655.83,18.44,1002.02,557.5
1577959298.2378936,18.4,1001.73,733.33,18.52,1001.13,658.33,18.46,1002.04,556.67
1577959358.2358296,18.38,1001.74,714.17,18.52,1001.12,662.5,18.46,1002.02,559.17
1577959418.2316456,18.37,1001.72,698.33,18.52,1001.13,671.67,18.46,1002.01,567.5
1577959478.2278185,18.36,1001.72,686.67,18.54,1001.12,682.5,18.48,1002.0,577.5
1577959538.1991682,18.33,1001.7,675.83,18.55,1001.1,694.17,18.46,1001.97,585.83
1577959598.2211812,18.32,1001.72,670.0,18.56,1001.1,702.5,18.48,1001.97,589.17
1577959658.2191205,18.31,1001.7,669.17,18.58,1001.1,706.67,18.48,1001.97,590.83
1577959718.2168179,18.32,1001.67,672.5,18.58,1001.1,705.0,18.48,1001.97,587.5
1577959778.2128384,18.32,1001.66,685.83,18.58,1001.06,696.67,18.48,1001.94,580.83
1577959838.1828802,18.31,1001.63,699.17,18.57,1001.05,690.83,18.48,1001.93,577.5
1577959898.2334669,18.31,1001.6,710.0,18.57,1000.99,684.17,18.5,1001.85,574.17
1577959958.178381,18.32,1001.58,718.33,18.56,1000.97,680.83,18.5,1001.85,574.17
1577960018.2279878,18.3,1001.59,725.83,18.57,1000.98,682.5,18.53,1001.84,571.67
1577960078.1985824,18.3,1001.56,731.67,18.57,1000.94,686.67,18.53,1001.84,571.67
1577960138.1950116,18.29,1001.56,735.0,18.56,1000.95,699.17,18.54,1001.8,575.83
1577960198.1917026,18.28,1001.56,732.5,18.57,1000.93,711.67,18.53,1001.81,586.67
1577960258.162577,18.28,1001.55,731.67,18.57,1000.93,730.83,18.54,1001.78,595.83
1577960318.2100925,18.29,1001.56,729.17,18.57,1000.95,744.17,18.54,1001.77,620.83
1577960378.182034,18.31,1001.54,726.67,18.57,1000.93,750.83,18.54,1001.77,620.83
1577960438.1784518,18.31,1001.54,729.17,18.58,1000.92,755.83,18.54,1001.77,625.83
1577960498.174407,18.31,1001.54,730.83,18.6,1000.94,758.33,18.54,1001.76,630.83
1577960558.1715848,18.3,1001.52,731.67,18.58,1000.93,765.0,18.56,1001.78,635.0
1577960618.1434472,18.34,1001.52,737.5,18.6,1000.92,770.0,18.56,1001.77,640.0
1577960678.1649678,18.35,1001.5,738.33,18.6,1000.92,763.33,18.56,1001.76,641.67
1577960738.1605778,18.37,1001.5,749.17,18.6,1000.92,763.33,18.56,1001.76,636.67
1577960798.15805,18.37,1001.49,763.33,18.6,1000.92,767.5,18.55,1001.76,637.5
1577960858.153642,18.36,1001.49,771.67,18.6,1000.92,768.33,18.57,1001.76,635.0
1577960918.1241078,18.36,1001.49,773.33,18.6,1000.91,766.67,18.57,1001.76,632.5
1577960978.1726835,18.34,1001.49,816.67,18.57,1000.91,752.5,18.57,1001.76,623.33
1577961038.1460712,18.28,1001.49,821.67,18.56,1000.9,746.67,18.57,1001.76,623.33
1577961098.1430302,18.29,1001.47,825.83,18.56,1000.89,738.33,18.57,1001.75,616.67
1577961158.1397314,18.3,1001.46,830.0,18.57,1000.87,725.83,18.57,1001.75,610.83
1577961218.1367989,18.3,1001.48,828.33,18.58,1000.87,705.83,18.56,1001.73,600.0
1577961278.1337035,18.3,1001.47,830.0,18.58,1000.88,697.5,18.55,1001.74,584.17
1577961338.130808,18.32,1001.46,828.33,18.6,1000.87,678.33,18.54,1001.74,576.67
1577961398.1289368,18.31,1001.46,829.17,18.6,1000.87,670.83,18.55,1001.74,563.33
1577961458.1251779,18.33,1001.46,820.0,18.6,1000.86,656.67,18.54,1001.73,556.67
1577961518.1213398,18.3,1001.44,814.17,18.6,1000.85,650.0,18.54,1001.72,543.33
1577961578.1189466,18.33,1001.45,807.5,18.6,1000.86,637.5,18.55,1001.71,537.5
1577961638.0901046,18.34,1001.44,799.17,18.58,1000.85,620.83,18.55,1001.72,527.5
1577961698.1121757,18.38,1001.44,791.67,18.6,1000.85,606.67,18.56,1001.74,513.33
1577961758.1082945,18.41,1001.43,783.33,18.6,1000.85,606.67,18.56,1001.73,500.83
1577961818.1057346,18.48,1001.43,769.17,18.58,1000.85,590.0,18.57,1001.72,487.5
1577961878.1020446,18.45,1001.39,760.0,18.61,1000.83,577.5,18.58,1001.7,477.5
1577961938.0985267,18.45,1001.37,747.5,18.6,1000.81,572.5,18.6,1001.67,475.0
1577961998.0965886,18.42,1001.33,740.0,18.61,1000.78,571.67,18.6,1001.65,474.17
1577962058.0659392,18.32,1001.32,730.83,18.62,1000.74,577.5,18.62,1001.61,479.17
1577962118.116976,18.32,1001.3,717.5,18.64,1000.72,596.67,18.62,1001.6,498.33
1577962178.0632482,18.36,1001.3,706.67,18.64,1000.71,609.17,18.62,1001.6,498.33
1577962238.110136,18.34,1001.34,690.0,18.62,1000.73,620.83,18.64,1001.62,519.17
1577962298.081739,18.33,1001.35,682.5,18.62,1000.74,633.33,18.64,1001.62,519.17
1577962358.0803113,18.38,1001.36,675.83,18.64,1000.74,648.33,18.64,1001.61,529.17
1577962418.050243,18.38,1001.36,684.17,18.64,1000.74,665.83,18.66,1001.62,539.17
1577962478.0754073,18.37,1001.35,686.67,18.66,1000.75,683.33,18.68,1001.61,552.5
1577962538.068782,17.82,1001.37,697.5,18.66,1000.75,683.33,18.68,1001.62,566.67
1577962598.0652945,17.93,1001.35,703.33,18.66,1000.75,706.67,18.66,1001.61,584.17
1577962658.0351264,18.09,1001.34,709.17,18.66,1000.75,720.0,18.68,1001.63,592.5
1577962718.0863035,18.11,1001.35,726.67,18.62,1000.74,750.83,18.66,1001.62,613.33
1577962778.0565455,18.16,1001.33,742.5,18.62,1000.72,755.0,18.66,1001.62,613.33
1577962838.0543914,18.17,1001.3,763.33,18.64,1000.71,758.33,18.64,1001.59,617.5
1577962898.051151,18.19,1001.29,789.17,18.66,1000.69,761.67,18.62,1001.57,620.83
1577962958.0488315,18.22,1001.28,811.67,18.61,1000.68,755.0,18.62,1001.55,625.0
1577963018.045967,18.17,1001.28,834.17,18.6,1000.68,741.67,18.6,1001.55,620.0
1577963078.0428212,18.18,1001.26,855.83,18.6,1000.66,728.33,18.58,1001.54,610.83
1577963138.0146196,18.2,1001.26,879.17,18.58,1000.65,715.83,18.57,1001.52,601.67
1577963198.0432622,18.18,1001.27,898.33,18.58,1000.66,705.0,18.56,1001.53,593.33
1577963258.0321214,18.18,1001.26,911.67,18.58,1000.66,705.0,18.55,1001.53,587.5
1577963318.0298786,18.17,1001.23,915.83,18.56,1000.65,696.67,18.54,1001.51,583.33
1577963378.0268571,18.16,1001.23,916.67,18.52,1000.61,688.33,18.53,1001.49,578.33
1577963438.0235026,18.14,1001.21,911.67,18.52,1000.62,687.5,18.52,1001.48,579.17
1577963498.0205874,18.15,1001.2,905.83,18.52,1000.6,690.0,18.52,1001.47,581.67
1577963557.991394,18.16,1001.19,896.67,18.5,1000.59,691.67,18.5,1001.45,582.5
1577963618.014293,18.17,1001.18,890.0,18.5,1000.57,690.83,18.5,1001.44,581.67
1577963678.0108118,18.16,1001.21,880.83,18.5,1000.57,693.33,18.5,1001.43,581.67
1577963737.9814274,18.14,1001.21,870.83,18.5,1000.59,687.5,18.5,1001.46,577.5
1577963798.0314302,18.13,1001.18,874.17,18.5,1000.56,683.33,18.48,1001.43,573.33
1577963857.9773269,18.14,1001.18,875.83,18.5,1000.56,685.0,18.48,1001.43,573.33
1577963918.0254786,18.12,1001.15,880.0,18.5,1000.56,685.0,18.48,1001.42,571.67
1577963977.9963546,18.11,1001.15,877.5,18.48,1000.55,675.0,18.48,1001.42,571.67
1577964037.9681444,18.08,1001.15,872.5,18.48,1000.56,663.33,18.46,1001.41,561.67
1577964098.0155616,18.08,1001.14,865.83,18.5,1000.55,648.33,18.48,1001.41,537.5
1577964157.987367,18.07,1001.13,860.83,18.5,1000.53,633.33,18.48,1001.41,537.5
1577964217.9844358,18.07,1001.13,857.5,18.5,1000.51,618.33,18.48,1001.38,526.67
1577964277.9818351,18.1,1001.1,849.17,18.48,1000.49,602.5,18.48,1001.37,515.83
1577964337.94676,18.1,1001.09,840.83,18.48,1000.48,591.67,18.46,1001.34,501.67
1577964398.0088248,18.09,1001.09,832.5,18.48,1000.46,580.0,18.46,1001.32,483.33
1577964457.975014,18.07,1001.07,826.67,18.48,1000.46,571.67,18.46,1001.33,477.5
1577964517.945905,18.04,1001.08,814.17,18.48,1000.46,562.5,18.46,1001.32,470.83
1577964577.9889069,18.05,1001.07,801.67,18.48,1000.45,557.5,18.46,1001.3,466.67
1577964637.9639227,18.06,1001.04,788.33,18.5,1000.42,555.83,18.46,1001.3,466.67
1577964697.9353516,18.08,1001.01,770.0,18.5,1000.4,555.0,18.46,1001.27,466.67
1577964757.980286,18.05,1000.99,758.33,18.48,1000.38,563.33,18.44,1001.22,475.83
1577964817.9491925,18.04,1000.96,742.5,18.48,1000.33,566.67,18.44,1001.22,475.83
1577964877.951415,18.03,1000.93,730.0,18.5,1000.32,573.33,18.44,1001.19,480.0
1577964937.9484367,18.03,1000.93,719.17,18.5,1000.31,581.67,18.44,1001.17,487.5
1577964997.9188638,18.0,1000.93,711.67,18.5,1000.31,595.0,18.44,1001.16,495.83
1577965117.9394364,17.98,1000.93,728.33,18.46,1000.34,632.5,18.44,1001.17,525.0
1577965177.9347749,17.99,1000.94,743.33,18.46,1000.34,650.83,18.44,1001.18,542.5
1577965237.9069664,18.0,1000.95,750.83,18.48,1000.34,669.17,18.44,1001.19,561.67
1577965297.954557,18.03,1000.93,761.67,18.48,1000.32,694.17,18.46,1001.17,598.33
1577965357.8997493,18.02,1000.92,780.83,18.48,1000.31,730.83,18.46,1001.17,598.33
1577965417.9563818,18.04,1000.91,777.5,18.48,1000.31,750.83,18.48,1001.14,637.5
1577965477.8963873,18.02,1000.88,792.5,18.48,1000.29,779.17,18.48,1001.12,656.67
1577965537.9196901,18.01,1000.87,819.17,18.5,1000.26,806.67,18.48,1001.11,678.33
1577965597.9030735,18.02,1000.86,845.83,18.48,1000.24,825.0,18.48,1001.11,692.5
1577965657.913003,18.03,1000.83,877.5,18.5,1000.22,840.83,18.5,1001.07,704.17
1577965717.9092405,18.02,1000.81,906.67,18.5,1000.2,850.0,18.5,1001.04,713.33
1577965777.8990064,17.98,1000.76,924.17,18.52,1000.16,845.83,18.5,1001.0,709.17
1577965837.9040985,17.99,1000.73,920.83,18.52,1000.14,817.5,18.52,1000.98,683.33
1577965897.899528,18.03,1000.73,956.67,18.52,1000.12,798.33,18.5,1000.96,667.5
1577965957.8974125,18.04,1000.71,985.0,18.52,1000.1,775.83,18.5,1000.96,653.33
1577966017.8689158,18.01,1000.71,1070.0,18.5,1000.1,800.83,18.5,1000.94,675.0
1577966077.891224,18.03,1000.72,1129.17,18.5,1000.11,808.33,18.5,1000.95,680.83
1577966137.8625698,18.02,1000.75,1146.67,18.5,1000.14,795.83,18.5,1000.98,670.83
1577966197.9175026,18.03,1000.77,1167.5,18.52,1000.17,790.83,18.5,1001.01,666.67
1577966257.8563044,18.03,1000.81,1172.5,18.52,1000.19,782.5,18.52,1001.03,659.17
1577966377.8740628,18.07,1000.86,1160.83,18.54,1000.23,775.83,18.5,1001.06,656.67
1577966437.8716285,18.09,1000.86,1143.33,18.52,1000.24,775.0,18.52,1001.07,655.83
1577966497.8545141,18.11,1000.87,1143.33,18.52,1000.25,783.33,18.52,1001.08,655.83
1577966557.8385177,18.11,1000.87,1136.67,18.54,1000.24,788.33,18.52,1001.09,663.33
1577966617.8877285,18.11,1000.87,1112.5,18.55,1000.24,784.17,18.52,1001.08,659.17
1577966677.833013,18.1,1000.85,1082.5,18.55,1000.23,775.83,18.52,1001.08,659.17
1577966737.857928,18.12,1000.84,1098.33,18.56,1000.23,784.17,18.53,1001.06,650.83
1577966797.85099,18.12,1000.84,1102.5,18.56,1000.23,784.17,18.53,1001.06,654.17
1577966857.8486626,18.12,1000.83,1102.5,18.56,1000.22,786.67,18.53,1001.07,653.33
1577966917.8447347,18.1,1000.85,1102.5,18.57,1000.22,787.5,18.52,1001.06,652.5
1577966977.8047915,18.09,1000.85,1092.5,18.56,1000.22,792.5,18.52,1001.07,655.83
1577967037.8628972,18.11,1000.83,1081.67,18.57,1000.2,797.5,18.52,1001.05,662.5
1577967097.8361669,18.13,1000.81,1064.17,18.57,1000.19,798.33,18.52,1001.05,662.5
1577967157.8079412,18.1,1000.81,1058.33,18.57,1000.16,797.5,18.53,1001.04,665.0
1577967217.855511,18.11,1000.8,1048.33,18.58,1000.15,790.83,18.53,1001.0,661.67
1577967277.8143241,18.11,1000.78,1035.83,18.58,1000.14,779.17,18.53,1001.0,661.67
1577967337.8106086,18.1,1000.75,1036.67,18.58,1000.12,768.33,18.53,1001.0,651.67
1577967397.8214211,18.11,1000.73,1065.83,18.58,1000.09,760.83,18.53,1000.98,641.67
1577967457.8173866,18.13,1000.7,1080.0,18.6,1000.04,744.17,18.53,1000.94,635.0
1577967517.8022013,18.16,1000.64,1106.67,18.6,1000.01,730.0,18.53,1000.91,621.67
1577967577.8119097,18.18,1000.62,1138.33,18.6,999.98,718.33,18.53,1000.87,609.17
1577967637.8075268,18.17,1000.6,1186.67,18.6,999.96,715.0,18.54,1000.84,600.0
1577967697.7793686,18.16,1000.58,1229.17,18.6,999.97,713.33,18.54,1000.84,597.5
1577967757.824653,18.17,1000.57,1237.5,18.58,999.94,707.5,18.55,1000.82,592.5
1577967817.7865558,18.19,1000.58,1220.0,18.6,999.96,700.0,18.55,1000.82,592.5
1577967877.7968225,18.18,1000.59,1190.83,18.6,999.99,694.17,18.56,1000.83,587.5
1577967937.794978,18.21,1000.61,1180.0,18.6,1000.0,698.33,18.56,1000.85,586.67
1577967997.791798,18.21,1000.63,1194.17,18.61,1000.01,709.17,18.56,1000.86,590.0
1577968057.7634096,18.2,1000.64,1195.0,18.62,1000.03,721.67,18.56,1000.87,598.33
1577968117.7815733,18.19,1000.67,1192.5,18.62,1000.03,737.5,18.55,1000.9,608.33
1577968177.7548022,18.21,1000.66,1192.5,18.62,1000.03,737.5,18.56,1000.91,620.83
1577968237.7787044,18.22,1000.66,1173.33,18.62,1000.02,755.83,18.57,1000.9,635.0
1577968297.7673314,18.24,1000.64,1095.0,18.61,1000.03,770.0,18.58,1000.9,644.17
1577968357.7717445,18.21,1000.61,1045.0,18.61,1000.01,773.33,18.58,1000.88,649.17
1577968417.7694907,18.22,1000.6,1055.83,18.62,1000.01,782.5,18.58,1000.86,657.5
1577968477.7380536,18.27,1000.58,1104.17,18.64,999.98,797.5,18.58,1000.84,669.17
1577968537.7895622,18.28,1000.55,1101.67,18.64,999.94,815.0,18.58,1000.79,682.5
1577968597.7609205,18.28,1000.53,1081.67,18.64,999.91,807.5,18.58,1000.79,682.5
1577968657.7311516,18.27,1000.5,1058.33,18.64,999.89,794.17,18.58,1000.76,678.33
1577968717.777917,18.27,1000.49,1041.67,18.64,999.87,778.33,18.6,1000.73,655.0
1577968777.7515118,18.27,1000.48,1025.0,18.64,999.85,758.33,18.6,1000.73,655.0
1577968837.7478714,18.25,1000.46,1064.17,18.66,999.84,746.67,18.6,1000.71,640.0
1577968897.7444053,18.3,1000.45,1080.0,18.64,999.84,727.5,18.6,1000.7,630.0
1577968957.7422533,18.29,1000.43,1086.67,18.64,999.82,708.33,18.6,1000.68,615.0
1577969017.7299242,18.31,1000.4,1106.67,18.64,999.8,693.33,18.6,1000.66,599.17
1577969077.7354062,18.32,1000.4,1121.67,18.64,999.79,677.5,18.6,1000.63,585.83
1577969137.7323155,18.31,1000.39,1121.67,18.62,999.79,664.17,18.6,1000.63,572.5
1577969197.7198462,18.32,1000.4,1116.67,18.64,999.8,654.17,18.6,1000.64,561.67
1577969257.7264962,18.34,1000.4,1103.33,18.64,999.8,647.5,18.58,1000.66,552.5
1577969317.723659,18.32,1000.43,1075.83,18.64,999.83,641.67,18.58,1000.67,545.0
1577969377.7194426,18.31,1000.44,1056.67,18.64,999.83,640.0,18.58,1000.68,537.5
1577969437.6914234,18.3,1000.45,1044.17,18.64,999.83,640.83,18.57,1000.7,533.33
1577969497.7241476,18.28,1000.46,1028.33,18.62,999.84,641.67,18.58,1000.71,525.83
1577969557.686489,18.31,1000.47,1004.17,18.61,999.85,640.83,18.58,1000.71,525.83
1577969617.736583,18.35,1000.5,978.33,18.62,999.87,640.0,18.57,1000.73,516.67
1577969677.6817765,18.34,1000.51,958.33,18.62,999.89,636.67,18.57,1000.73,516.67
1577969737.7107315,18.34,1000.52,945.0,18.61,999.9,634.17,18.58,1000.76,510.83
