Time,T_0,P_0,L_0,T_1,P_1,L_1,T_2,P_2,L_2
1578037974.4862714,18.71,996.72,321.67,18.99,995.87,340.83,,,296.67
1578038274.505622,18.8,996.71,331.67,19.05,995.86,342.5,,,297.5
1578038574.3919425,18.72,996.69,345.83,19.08,995.87,342.5,,,315.83
1578038874.3797262,18.72,996.61,359.17,19.61,995.73,388.33,,,326.67
1578039174.3195026,18.73,996.59,371.67,19.61,995.73,388.33,,,326.67
1578039474.3065162,18.71,996.53,383.33,19.74,995.64,404.17,,,336.67
1578039774.2613678,18.71,996.53,393.33,19.74,995.64,404.17,,,345.0
1578040074.1949959,18.72,996.47,402.5,19.77,995.65,412.5,,,353.33
1578040374.1792464,18.82,996.37,410.83,19.87,995.54,430.0,,,368.33
1578040674.1472886,18.81,996.32,420.0,19.87,995.54,430.0,,,368.33
1578040974.072574,18.81,996.31,428.33,19.92,995.5,436.67,,,373.33
1578041274.0553432,18.79,996.26,439.17,20.01,995.44,450.83,,,385.83
1578041574.0293825,18.89,996.2,455.0,20.01,995.44,450.83,,,385.83
1578042786.1103501,19.25,995.98,478.33,20.29,995.22,470.0,19.98,996.03,410.0
1578043125.8390124,19.28,995.94,495.83,20.37,995.15,477.5,19.92,996.01,416.67
1578043257.038125,19.32,995.95,496.67,20.39,995.17,477.5,19.91,996.05,416.67
1578043557.044555,19.38,995.88,508.33,20.39,995.16,477.5,19.92,996.05,416.67
1578043856.952929,19.37,995.88,510.0,20.4,995.16,478.33,19.91,995.97,418.33
1578044156.914121,19.39,995.91,525.0,20.47,995.09,483.33,19.94,995.95,420.0
1578044456.875397,19.41,995.87,526.67,20.49,995.13,483.33,19.95,995.98,420.0
1578044756.834337,19.51,995.77,533.33,20.52,995.09,486.67,19.98,995.94,422.5
1578045056.795885,19.49,995.78,541.67,20.52,994.99,491.67,19.98,995.86,425.83
1578045356.7837484,19.4,995.72,550.0,20.52,994.92,495.0,20.02,995.81,426.67
1578045656.7221394,19.44,995.61,565.0,20.49,994.84,493.33,20.02,995.81,426.67
1578045956.6529825,19.43,995.54,573.33,20.49,994.84,493.33,19.98,995.74,429.17
1578046256.6143556,19.41,995.48,572.5,20.41,994.7,491.67,20.04,995.58,426.67
1578046556.5906253,19.5,995.49,587.5,20.17,994.67,495.0,20.03,995.57,426.67
1578046856.5374966,18.45,995.37,592.5,20.17,994.67,495.0,20.03,995.57,426.67
1578047156.5227706,18.97,995.27,602.5,19.99,994.5,497.5,19.91,995.35,424.17
1578047456.4582982,19.03,995.18,615.83,20.17,994.45,493.33,19.91,995.35,424.17
1578047756.4709978,19.08,995.13,627.5,20.19,994.36,499.17,19.84,995.29,426.67
1578048056.3810234,19.05,995.1,623.33,20.22,994.32,497.5,19.79,995.25,426.67
1578048356.365535,19.07,995.11,637.5,20.24,994.32,500.0,19.75,995.21,425.83
1578048656.3184936,19.07,995.1,638.33,20.24,994.32,500.0,19.75,995.21,425.83
1578048956.2611196,19.04,994.91,635.83,20.26,994.31,495.83,19.73,995.2,421.67
1578049256.2488801,19.09,994.9,648.33,20.32,994.1,494.17,19.72,994.98,420.0
1578049556.210141,19.12,994.83,658.33,20.32,994.1,494.17,19.72,994.98,420.0
1578049856.1639261,19.16,994.78,665.83,20.3,994.05,497.5,19.72,994.91,423.33
1578050156.1326587,19.21,994.74,671.67,20.34,994.04,496.67,19.73,994.9,423.33
1578050456.0938852,19.24,994.63,670.0,20.34,993.98,493.33,19.76,994.85,420.83
1578050756.029218,19.25,994.6,686.67,20.36,993.84,486.67,19.77,994.72,414.17
1578051056.009094,19.29,994.68,696.67,20.36,993.91,478.33,19.78,994.7,411.67
1578051355.948885,19.29,994.66,705.83,20.36,993.91,478.33,19.78,994.79,406.67
1578051655.9094887,19.25,994.53,717.5,20.34,993.78,467.5,19.79,994.63,396.67
1578051955.8707948,19.22,994.4,728.33,20.34,993.62,464.17,19.8,994.49,392.5
1578052255.858572,19.2,994.42,746.67,20.33,993.64,460.83,19.79,994.49,389.17
1578052555.819334,19.18,994.45,765.83,20.33,993.64,460.83,19.79,994.49,389.17
1578052855.7499554,19.16,994.46,781.67,20.32,993.68,458.33,19.81,994.54,385.83
1578053155.7073755,19.12,994.31,777.5,20.34,993.51,449.17,19.82,994.38,376.67
1578053455.70257,19.18,994.28,791.67,20.31,993.52,446.67,19.84,994.38,374.17
1578053755.6895525,19.12,994.21,830.0,20.3,993.43,443.33,19.84,994.29,371.67
1578054055.6287668,19.21,994.27,885.83,20.35,993.48,439.17,19.84,994.29,371.67
1578054355.559689,19.23,994.17,930.83,20.35,993.48,439.17,19.82,994.33,366.67
1578054655.5138352,19.28,994.02,943.33,20.36,993.24,426.67,19.81,994.09,353.33
1578054955.473213,19.32,993.9,939.17,20.35,993.14,420.83,19.81,993.99,349.17
1578055255.4320917,19.35,993.78,941.67,20.34,993.04,418.33,19.8,993.89,345.0
1578055555.4056084,19.36,993.77,965.0,20.34,993.01,411.67,19.79,993.86,339.17
1578055855.3668745,19.41,993.75,960.83,20.37,992.98,406.67,19.8,993.85,334.17
1578056155.3544116,19.38,993.68,936.67,20.37,992.91,398.33,19.79,993.8,325.83
1578056455.3439357,19.45,993.66,930.0,20.38,992.9,392.5,19.8,993.76,320.83
