Time,T_0,P_0,L_0,T_1,P_1,L_1,T_2,P_2,L_2
1579444374.9936996,19.55,1003.56,55.0,19.74,1002.85,70.83,20.04,1003.65,76.67
1579444404.993074,19.57,1003.57,53.33,19.75,1002.86,66.67,20.1,1003.63,71.67
1579444434.995183,19.58,1003.57,53.33,19.75,1002.87,63.33,20.12,1003.63,67.5
1579444464.9966657,19.58,1003.57,53.33,19.75,1002.87,60.0,20.13,1003.62,64.17
1579444494.9992995,19.58,1003.58,53.33,19.76,1002.87,58.33,20.13,1003.63,61.67
1579444525.0011916,19.58,1003.58,53.33,19.77,1002.88,56.67,20.14,1003.63,60.0
1579444555.0037913,19.6,1003.59,53.33,19.76,1002.87,55.0,20.16,1003.64,58.33
1579444585.0054007,19.61,1003.58,53.33,19.76,1002.87,54.17,20.19,1003.65,57.5
1579444615.0080912,19.61,1003.58,53.33,19.76,1002.88,53.33,20.2,1003.65,56.67
1579444645.0099351,19.63,1003.59,54.17,19.77,1002.88,53.33,20.22,1003.66,56.67
1579444675.0108318,19.64,1003.6,54.17,19.78,1002.89,53.33,20.23,1003.66,56.67
1579444705.0180607,19.64,1003.61,54.17,19.78,1002.9,53.33,20.25,1003.67,56.67
1579444735.015331,19.64,1003.62,53.33,19.79,1002.9,54.17,20.27,1003.68,57.5
1579444765.0208113,19.62,1003.63,53.33,19.79,1002.92,55.0,20.28,1003.68,58.33
1579444795.0210886,19.63,1003.63,53.33,19.8,1002.92,55.0,20.29,1003.7,58.33
1579444825.0246198,19.63,1003.63,50.83,19.8,1002.93,55.0,20.31,1003.71,59.17
1579444855.0252147,19.63,1003.63,49.17,19.81,1002.94,54.17,20.32,1003.72,59.17
1579444885.0291204,19.62,1003.65,48.33,19.81,1002.94,53.33,20.33,1003.71,58.33
1579444915.0295236,19.61,1003.64,47.5,19.82,1002.95,53.33,20.34,1003.72,56.67
1579444945.0298078,19.61,1003.65,45.83,19.83,1002.96,50.83,20.34,1003.72,55.0
1579444975.0325863,19.61,1003.66,45.83,19.83,1002.97,49.17,20.34,1003.73,53.33
1579445005.0376947,19.61,1003.67,45.0,19.84,1002.98,48.33,20.32,1003.74,53.33
