Time,T_0,P_0,L_0,T_1,P_1,L_1,T_2,P_2,L_2
1578037974.4862714,17.68,996.72,321.67,17.27,995.87,340.83,,,296.67
1578038274.5056221,17.77,996.71,331.67,17.34,995.86,342.5,,,297.5
1578038574.3919425,17.69,996.69,345.83,17.36,995.87,342.5,,,315.83
1578038874.3797262,17.69,996.61,359.17,17.9,995.73,388.33,,,326.67
1578039174.3195026,17.7,996.59,371.67,17.9,995.73,388.33,,,326.67
1578039474.3065162,17.68,996.53,383.33,18.02,995.64,404.17,,,336.67
1578039774.2613678,17.68,996.53,393.33,18.02,995.64,404.17,,,345.0
1578040074.194996,17.69,996.47,402.5,18.06,995.65,412.5,,,353.33
1578040374.1792464,17.79,996.37,410.83,18.16,995.54,430.0,,,368.33
1578040674.1472886,17.78,996.32,420.0,18.16,995.54,430.0,,,368.33
1578040974.0725741,17.78,996.31,428.33,18.21,995.5,436.67,,,373.33
1578041274.0553432,17.76,996.26,439.17,18.3,995.44,450.83,,,385.83
1578041574.0293825,17.86,996.2,455.0,18.3,995.44,450.83,,,385.83
1578042786.11035,18.22,995.98,478.33,18.58,995.22,470.0,18.66,996.03,410.0
1578043125.8390124,18.25,995.94,495.83,18.66,995.15,477.5,18.6,996.01,416.67
1578043257.038125,18.29,995.95,496.67,18.68,995.17,477.5,18.58,996.05,416.67
1578043557.0445552,18.35,995.88,508.33,18.68,995.16,477.5,18.6,996.05,416.67
1578043856.952929,18.34,995.88,510.0,18.68,995.16,478.33,18.58,995.97,418.33
1578044156.9141212,18.36,995.91,525.0,18.76,995.09,483.33,18.62,995.95,420.0
1578044456.875397,18.38,995.87,526.67,18.77,995.13,483.33,18.62,995.98,420.0
1578044756.834337,18.48,995.77,533.33,18.8,995.09,486.67,18.66,995.94,422.5
1578045056.7958848,18.46,995.78,541.67,18.8,994.99,491.67,18.66,995.86,425.83
1578045356.7837484,18.37,995.72,550.0,18.8,994.92,495.0,18.7,995.81,426.67
1578045656.7221394,18.41,995.61,565.0,18.77,994.84,493.33,18.7,995.81,426.67
1578045956.6529825,18.4,995.54,573.33,18.77,994.84,493.33,18.66,995.74,429.17
1578046256.6143556,18.38,995.48,572.5,18.7,994.7,491.67,18.72,995.58,426.67
1578046556.5906253,18.47,995.49,587.5,18.46,994.67,495.0,18.71,995.57,426.67
1578046856.5374966,17.42,995.37,592.5,18.46,994.67,495.0,18.71,995.57,426.67
1578047156.5227704,17.94,995.27,602.5,18.27,994.5,497.5,18.58,995.35,424.17
1578047456.4582982,18.0,995.18,615.83,18.46,994.45,493.33,18.58,995.35,424.17
1578047756.4709976,18.05,995.13,627.5,18.48,994.36,499.17,18.52,995.29,426.67
1578048056.3810234,18.02,995.1,623.33,18.5,994.32,497.5,18.46,995.25,426.67
1578048356.365535,18.04,995.11,637.5,18.52,994.32,500.0,18.42,995.21,425.83
1578048656.3184936,18.04,995.1,638.33,18.52,994.32,500.0,18.42,995.21,425.83
1578048956.2611196,18.01,994.91,635.83,18.55,994.31,495.83,18.4,995.2,421.67
1578049256.2488801,18.06,994.9,648.33,18.6,994.1,494.17,18.4,994.98,420.0
1578049556.210141,18.09,994.83,658.33,18.6,994.1,494.17,18.4,994.98,420.0
1578049856.163926,18.13,994.78,665.83,18.58,994.05,497.5,18.4,994.91,423.33
1578050156.1326587,18.18,994.74,671.67,18.62,994.04,496.67,18.4,994.9,423.33
1578050456.0938852,18.21,994.63,670.0,18.62,993.98,493.33,18.44,994.85,420.83
1578050756.029218,18.22,994.6,686.67,18.64,993.84,486.67,18.44,994.72,414.17
1578051056.009094,18.26,994.68,696.67,18.64,993.91,478.33,18.46,994.7,411.67
1578051355.948885,18.26,994.66,705.83,18.64,993.91,478.33,18.46,994.79,406.67
1578051655.9094887,18.22,994.53,717.5,18.62,993.78,467.5,18.46,994.63,396.67
1578051955.8707948,18.19,994.4,728.33,18.62,993.62,464.17,18.48,994.49,392.5
1578052255.858572,18.17,994.42,746.67,18.61,993.64,460.83,18.46,994.49,389.17
1578052555.819334,18.15,994.45,765.83,18.61,993.64,460.83,18.46,994.49,389.17
1578052855.7499554,18.13,994.46,781.67,18.6,993.68,458.33,18.48,994.54,385.83
1578053155.7073755,18.09,994.31,777.5,18.62,993.51,449.17,18.5,994.38,376.67
1578053455.70257,18.15,994.28,791.67,18.6,993.52,446.67,18.52,994.38,374.17
1578053755.6895525,18.09,994.21,830.0,18.58,993.43,443.33,18.52,994.29,371.67
1578054055.6287668,18.18,994.27,885.83,18.64,993.48,439.17,18.52,994.29,371.67
1578054355.559689,18.2,994.17,930.83,18.64,993.48,439.17,18.5,994.33,366.67
1578054655.5138352,18.25,994.02,943.33,18.64,993.24,426.67,18.48,994.09,353.33
1578054955.4732132,18.29,993.9,939.17,18.64,993.14,420.83,18.48,993.99,349.17
1578055255.4320915,18.32,993.78,941.67,18.62,993.04,418.33,18.48,993.89,345.0
1578055555.4056087,18.33,993.77,965.0,18.62,993.01,411.67,18.46,993.86,339.17
1578055855.3668745,18.38,993.75,960.83,18.66,992.98,406.67,18.48,993.85,334.17
1578056155.3544116,18.35,993.68,936.67,18.66,992.91,398.33,18.46,993.8,325.83
1578056455.3439355,18.42,993.66,930.0,18.66,992.9,392.5,18.48,993.76,320.83
1578056755.3036141,18.44,993.52,919.17,18.68,992.78,386.67,18.48,993.66,315.83
1578057055.2669535,18.43,993.51,907.5,18.66,992.78,381.67,18.48,993.66,310.0
1578057355.1767805,18.48,993.51,906.67,18.66,992.76,375.0,18.48,993.66,310.0
1578057655.1630793,18.5,993.47,883.33,18.66,992.74,364.17,18.48,993.6,295.83
1578057955.1252642,18.57,993.47,858.33,18.66,992.74,364.17,18.48,993.6,295.83
1578058255.0871835,18.64,993.39,841.67,18.64,992.73,355.0,18.48,993.61,288.33
1578058555.0689898,18.69,993.34,830.0,18.64,992.63,334.17,18.48,993.52,270.0
1578058854.9878645,18.73,993.31,779.17,18.66,992.63,320.0,18.48,993.52,270.0
1578059154.9736106,18.79,993.26,735.83,18.64,992.57,314.17,18.46,993.42,246.67
1578059454.9349866,18.84,993.21,682.5,18.64,992.57,314.17,18.46,993.42,246.67
1578059754.897987,18.85,993.12,631.67,18.62,992.51,302.5,18.46,993.38,234.17
1578060054.8866858,18.86,993.0,560.83,18.62,992.3,273.33,18.44,993.13,206.67
1578060354.8479395,18.84,992.9,484.17,18.62,992.22,255.83,18.46,993.04,189.17
1578060654.766034,18.84,992.93,399.17,18.6,992.28,228.33,18.46,993.04,189.17
1578060954.7206874,18.74,992.84,269.17,18.54,992.16,175.83,18.44,992.99,141.67
1578061254.70866,18.64,992.78,189.17,18.5,992.13,130.83,18.4,992.95,109.17
1578061554.6978428,18.53,992.73,152.5,18.48,992.1,106.67,18.37,992.89,90.0
1578061854.6077332,18.44,992.76,124.17,18.48,992.13,85.83,18.37,992.89,90.0
1578062154.5926602,18.34,992.74,100.0,18.43,992.1,68.33,18.35,992.92,59.17
1578062454.5543275,18.26,992.94,78.33,18.43,992.1,68.33,18.35,992.92,59.17
1578062754.5026677,18.2,992.96,55.83,18.43,992.24,53.33,18.34,993.07,46.67
1578063054.4538233,18.11,992.89,38.33,18.39,992.26,35.83,18.3,993.12,32.5
1578063354.431474,18.08,992.96,24.17,18.34,992.26,14.17,18.3,993.07,21.67
1578063654.3764648,18.01,992.93,14.17,18.32,992.22,7.5,18.28,993.09,7.5
1578063954.3591266,17.99,992.93,7.5,18.3,992.22,3.33,18.26,993.1,4.17
1578064254.3191226,18.08,992.95,3.33,18.3,992.22,3.33,18.26,993.1,4.17
1578064554.2556307,17.96,992.92,1.67,18.27,992.24,1.67,18.24,993.14,1.67
1578064854.2403288,17.91,992.9,0.83,18.26,992.19,0.0,18.24,993.13,0.83
1578065154.2003398,18.03,992.78,0.83,18.26,992.19,0.0,18.23,993.08,0.83
1578065454.1339765,18.05,992.79,0.83,18.3,992.11,0.0,18.3,992.96,0.0
1578065754.1207097,17.94,992.8,0.83,18.34,992.09,0.0,18.24,992.97,0.0
1578066054.0808141,17.89,992.82,0.0,18.34,992.09,0.0,18.24,992.97,0.0
1578066354.0145395,17.86,992.73,0.0,18.32,992.13,0.0,18.2,993.01,0.0
1578066654.0026565,17.84,992.66,0.0,18.27,991.96,0.0,18.16,992.79,0.0
1578066953.939767,17.85,992.65,0.0,18.27,991.96,0.0,18.16,992.79,0.0
1578067253.920976,17.81,992.6,0.0,18.26,991.88,0.0,18.16,992.8,0.0
1578067553.8571186,17.85,992.63,21.67,18.26,991.88,0.0,18.14,992.75,0.0
1578067853.815402,17.93,992.66,20.83,18.42,991.94,0.0,18.37,992.78,0.0
